id,phone_sequence
fadg0_si1279,hIwLAJUaIrDcaBLMrDwLMPwQt
fadg0_si1909,tbLiKsFPLkuwDBPUJLIcFBUJLhlwLDytNlwKr
fadg0_si649,wLJcnQrJUtrCcBgbLHcQvtAyPDwLMywQLHrLHcwJwDIrJLHMnbnLMtrvrIFBwLABymrKncLH
fadg0_sx109,KyJBwOLMkwDJLHIwywEvrbnbELABFBaDcJLMyLHMJBFLH
fadg0_sx199,TcnDLKiwBLkIrwDKOmwcQhGSIGsmwLAJLhFKrLMwLAwDLMsLzwJLkMkwUyUnwDUJ
fadg0_sx19,cBwPwCwDcnCDJFQSnrLAwDatwDLhytBwcDUwyE
fadg0_sx289,SnwlrLHIywNJLAcBaKwUrLQrwrIrTyJtBwcDJybmB
fadg0_sx379,HbDLuwDQLJLMIgILmywyESBSBcJDUaDLNnrUJLMsUJ
faks0_si1573,vwUJLAbLMkcDEScUJLMswDcDvbLurLkwDwUJLHhyPmwtBLhOPFLMJLSaIrSaIDwDKiKbaLhy
faks0_si2203,lwQIyUJcnwUJtIrlwJLMkagagLQJyEDELkAtBPBwKLDgeFB
faks0_si943,HIrLkacLAKwDwnwDClBsystaBtaILhBFSFSnwnLAJLHlwLMsKwDLUJ
faks0_sx133,lHyLJrIywUJarILAwDELDClyDETwDtrwLASwLABacacDLKiKiJ
faks0_sx223,HBOLlcLhOLiMrLhaSaLMsLhBGBGcDClwLurIrIagaKJU
faks0_sx313,khIaLtgaLiJtaICJwDlcLhaLAJLHcBtaIyLuFnBFBege
faks0_sx403,vrSaILkIFLHLADJnJcQFBSCFDByJLArLMJDwcDELhBgaeQJwJ
faks0_sx43,bnBLmlrIrByLHyLHBaIrIatcDwLAJLABPLkwLk
fcal1_si1403,wcBSaeBSsUlNtbDLkwLlwLHsKwDJgLAwLABLhBgDnwJLCbDmnbntnJwLJnBt
fcal1_si2033,lSOLhwLABaJBFKsDLkwNLNHrFBSswnJLMaGywBgLlswnwnJ
fcal1_si773,BnmaBLHIaLznLAJLMIgJBFaBytrJnQIrBLkbsbnsUJUJ
fcal1_sx143,lwJbeDLkwLzwDwtQtrULhkTyLBJLAuwrIrlkwbwbDBcBeFgF
fcal1_sx233,vHgSsywDtIySsCyDlwJwsbsDLlknbwsbsEDED
fcal1_sx323,lwtgaLHrQnDnwlLknDLtrCrIgQwEDaDLMgcgcgCD
fcal1_sx413,lkbnbtNLDyUJLSymwJUJLDsymcLHGDLJLAuaIrtLDCbLiLMrJLArnrLM
fcal1_sx53,yQwDwJwLhHBFQwLAbLhTywBynIrysLAwDLMsDJwnCDLhBUJ
fcmh0_si1454,acIwLzDBIcBsyLlcCsDLMgLiKTPUJLMSrQhnIywJLAacCLHwUwKwDUctQLHaByTyncnJLMirUJ
fcmh0_si2084,SBcmcwLhbebmwLMyInPwCDLksbCD
fcmh0_si824,JnQhBtrCUnrCrsnsLiKwDLkgUwEwbnDUgDLHInLHrsKwDLUNMIrIPNtQHyLDCnDywtQtbLKiKrwUJ
fcmh0_sx104,vyJLMkawFaBncLkgDCLtrcClcLhsLur
fcmh0_sx14,hytaIrNlnrULMwUwLUbebCDrLIyQyTPbnQIytaICywcBac
fcmh0_sx194,lsywDLzGsgscwSnDageagLkwKwD
fcmh0_sx284,zntLMayTyPaILuTPLkwDtQtsLQhrcLhcwJwnDLzwtTPLziLHIrLizwJ
fcmh0_sx374,zaDEDLAByDULKnBtwKtaIBwlQwED
fdac1_si1474,vegacbJLAyTybaebecEgDCbDvyUJbLhBwQNLCagaLkwJLMbsyUJLJUJ
fdac1_si2104,vavgvgagvytJNeagaLHsLkBgbKJLkwQGSacnJsysyLbDLBgbJLM
fdac1_si844,tQlegagagUDJLMbLDnLAaFBncQtwKwDUJsywUJwLisyQLMLbLMyswLAJLHbCDLMJcnQCbLiKaPaBaBLsLAJLHhnenIywDLHMJ
fdac1_sx124,gaLzwLAJLCsmwLHTyPyBPmrIaILhyPBPmctaBaB
fdac1_sx214,lncCaDwEDLkwBgacDlwnwJLHhgbLkmkwcSbnbLuBnJnDCDLkMwkLwDlwJgcaD
fdac1_sx304,iyLHMJLMkegbLAMyEwUJLCIbaegacDlctIrnbwJLMgCDQlnbSChaGacacDk
fdac1_sx34,keFneBeFEDLkPLiKgegabBysyJLMusmyLkwKwDJ
fdac1_sx394,AbebebeBJybwCsLAJLChaFDUJwDLMyUJLMuIaDE
fdhc0_si1559,lkwKPcByQyUwcwLHIaLAJwCsmwLkScwOmySwJtyByESwNlkMwDwCJnBt
fdhc0_si2189,TyJaeclwcCBaBSyUJLMwLunclrwLlkFUJywrUJUJ
fdhc0_si929,lhnwLzkJnLiLAsJwUSnrnrIywDlcLHbebgbabJLMJbnDTPKPB
fdhc0_sx119,lwCwJLABFScwUIyLMIbLMwOLSwNlwDcLHFaBwLzyE
fdhc0_sx209,CgLABFLAcBwLklwLhnLkzrCSBSaBwNLAIsysaegcgDJUJ
fdhc0_sx299,KysysCDyELMIysCwUwcLHaLHTywBrgmwCcDvFaBwcSyED
fdhc0_sx29,vnBLHLuIsnwLMwLHwLAwcLHlbnLAwQLHwLMsmwFcFCcQUJ
fdhc0_sx389,lhlsBcDmwLhwEyvebeJwDlncwIrCFLAncnDLMIyJgLk
fdms0_si1218,HFcBcLJCaSaIrBFQrLMcPSnBcEvTyPCwDLHbKDUJ
